strategy,short_ema,long_ema,signal_ema,capital_final,total_return,sharpe_ratio,max_drawdown,timestamp
macd,8,20,5,10043.86,0.44,0.08,-4.52,2025-06-19T12:10:50.451292
macd,8,20,9,9935.5,-0.64,-0.07,-3.71,2025-06-19T12:10:50.478726
macd,8,20,12,9533.94,-4.66,-0.67,-6.1,2025-06-19T12:10:50.506044
macd,8,26,5,9982.9,-0.17,-0.0,-4.69,2025-06-19T12:10:50.533317
macd,8,26,9,9729.72,-2.7,-0.38,-4.71,2025-06-19T12:10:50.560374
macd,8,26,12,9601.18,-3.99,-0.55,-5.08,2025-06-19T12:10:50.587592
macd,8,30,5,9937.31,-0.63,-0.06,-5.08,2025-06-19T12:10:50.614943
macd,8,30,9,9748.21,-2.52,-0.34,-4.94,2025-06-19T12:10:50.643072
macd,8,30,12,9730.56,-2.69,-0.36,-4.13,2025-06-19T12:10:50.670189
macd,12,20,5,9967.43,-0.33,-0.03,-4.12,2025-06-19T12:10:50.697335
macd,12,20,9,9564.44,-4.36,-0.6,-5.37,2025-06-19T12:10:50.724421
macd,12,20,12,9580.59,-4.19,-0.58,-5.34,2025-06-19T12:10:50.751502
macd,12,26,5,9755.26,-2.45,-0.34,-4.47,2025-06-19T12:10:50.778496
macd,12,26,9,9578.62,-4.21,-0.58,-5.36,2025-06-19T12:10:50.805833
macd,12,26,12,9709.36,-2.91,-0.36,-4.51,2025-06-19T12:10:50.833048
macd,12,30,5,9829.39,-1.71,-0.24,-4.37,2025-06-19T12:10:50.860235
macd,12,30,9,9584.42,-4.16,-0.55,-5.42,2025-06-19T12:10:50.887577
macd,12,30,12,9635.39,-3.65,-0.47,-4.91,2025-06-19T12:10:50.914698
macd,15,20,5,9743.4,-2.57,-0.36,-4.54,2025-06-19T12:10:50.941896
macd,15,20,9,9609.72,-3.9,-0.54,-5.05,2025-06-19T12:10:50.969070
macd,15,20,12,9707.21,-2.93,-0.37,-4.4,2025-06-19T12:10:50.996095
macd,15,26,5,9798.69,-2.01,-0.28,-4.7,2025-06-19T12:10:51.023108
macd,15,26,9,9690.04,-3.1,-0.4,-4.4,2025-06-19T12:10:51.050286
macd,15,26,12,9560.45,-4.4,-0.6,-4.81,2025-06-19T12:10:51.077269
macd,15,30,5,9666.81,-3.33,-0.45,-5.71,2025-06-19T12:10:51.104391
macd,15,30,9,9641.73,-3.58,-0.46,-5.01,2025-06-19T12:10:51.131643
macd,15,30,12,9442.21,-5.58,-0.77,-6.36,2025-06-19T12:10:51.158663
