strategy,short_window,long_window,capital_final,total_return,sharpe_ratio,max_drawdown,timestamp
moving_average,10,50,10219.07,2.19,0.4,-1.55,2025-06-18T17:34:11.322347
moving_average,10,75,10114.06,1.14,0.21,-1.74,2025-06-18T17:34:11.350063
moving_average,10,100,9790.69,-2.09,-0.44,-2.2,2025-06-18T17:34:11.377357
moving_average,10,120,9813.95,-1.86,-0.41,-2.74,2025-06-18T17:34:11.404579
moving_average,15,50,10174.23,1.74,0.3,-1.69,2025-06-18T17:34:11.431321
moving_average,15,75,10094.79,0.95,0.19,-1.61,2025-06-18T17:34:11.458010
moving_average,15,100,9712.02,-2.88,-0.51,-2.88,2025-06-18T17:34:11.484609
moving_average,15,120,9920.15,-0.8,-0.14,-2.31,2025-06-18T17:34:11.511218
moving_average,20,50,10188.96,1.89,0.3,-2.33,2025-06-18T17:34:11.537666
moving_average,20,75,10129.66,1.3,0.3,-1.09,2025-06-18T17:34:11.564598
moving_average,20,100,9841.02,-1.59,-0.32,-2.52,2025-06-18T17:34:11.591469
moving_average,20,120,10024.88,0.25,0.06,-2.43,2025-06-18T17:34:11.618161
moving_average,30,50,10285.09,2.85,0.44,-1.88,2025-06-18T17:34:11.644727
moving_average,30,75,10170.2,1.7,0.47,-0.49,2025-06-18T17:34:11.671266
moving_average,30,100,9993.85,-0.06,-0.01,-2.17,2025-06-18T17:34:11.697709
moving_average,30,120,9776.32,-2.24,-0.8,-2.24,2025-06-18T17:34:11.724274
